key,definition
access.point,Access Point
accesses,Accesses
action,Action
ad.computer.dst,Active Directory Workstation Destination
ad.computer.src,Active Directory Workstation Source
ad.domain.dst,Active Directory Domain Destination
ad.domain.src, Active Directory Domain Source
ad.username.dst,Active Directory Username Destination
ad.username.src,Active Directory Username Source
agent.id,Agent Id
alert,Alerts
alert.id,Alert ID
alias.host,Host ID
alias.host.hash,Hostname Aliases Hash
alias.ip,IP Aliases
alias.ipv6,IPv6 Alliases
alias.mac,MAC Alias Record
analysis.all,All Analysis Keys
analysis.context,Why should I care?
analysis.desc,What is this?
analysis.file,File Analysis
analysis.next,What should I do?
analysis.service,Service Analysis
analysis.session,Session Analysis
analysis.source,How did this get here?
appid,Application Identification
asset.bu,Business Unit - RSA Archer IT Security and Risk Management
asset.comp,Compliance - RSA Archer IT Security and Risk Management
asset.crit,Criticality - RSA Archer IT Security and Risk Management
asset.desc,Description- RSA Archer IT Security and Risk Management
asset.escalate,Escalation - RSA Archer IT Security and Risk Management
asset.fac,Facility - RSA Archer IT Security and Risk Management
asset.group,Group - RSA Archer IT Security and Risk Management
asset.risk,Risk - RSA Archer IT Security and Risk Management
asset.type,Type - RSA Archer IT Security and Risk Management
attachment,Attachment
attack.all,All ATT&CK Keys
attack.tactic,ATT&CK Tactic
attack.technique,ATT&CK Technique
attack.tid,ATT&CK Technique ID
auth.method,Auth Method - RSA SecurID Access
autorun.type,Autorun Type
boc,Behaviors of Compromise
browser,Browsers
bytes.src,Bytes Sent
capture.port,Capture Interface
category,Category
cert.ca,Certificate Authority
cert.checksum,Certificate Checksum
cert.common,Certificate Common Name
cert.common.dst, Certificate Common Name
cert.common.src, Certificate Common Name Sourc
cert.subject,Certifcate Subject
cert.thumbprint,Certificate Thumbprint
chat,Chat
checksum,Checksum
checksum.algo,Checksum Algorithm
checksum.all,All Checksum Keys
checksum.dst,Target Checksum
checksum.src,Source Checksum
cid,Concentrator Source
city,City
city.dst,Destination City
city.src,Source City
client,Agent  
client.all,All Client Keys
community.id,Community ID
compromise.all,All Compromise Keys
content,Content Type
content.type,Content Type
context,Context
context.all,All Context Keys
context.dst,Context Destination
context.src,Context Source
country,Country
country.dst,Destination Country
country.src,Source Country
crypto,Cipher Name
database,Database Name
device.class,Device Class
device.group,Event Source Group
device.host,Device Host
device.ip,Device IP
device.ipv6,Device IPv6
device.name,Device Name
device.names,Device Names
device.type,Device Type
did,Decoder Source
dinterface,Destination Interface
dir.path,Directory Path
dir.path.all,All Directory Path Keys
dir.path.dst,Directory Path Destination
dir.path.src,Directory Path Source
direction,Direction
directory,Directory
